px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.32318	-8.78691	-2.7256	1.9996	-0.131937	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.353714
9.47047	-8.89846	-2.7924	2.09498	0.0187752	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.8848
9.50765	-9.05101	-2.80268	2.06323	-0.0142481	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.861504
9.55015	-9.17862	-2.78646	2.0379	-0.049101	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.11401
9.59217	-9.31739	-2.78943	2.01712	-0.0678411	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.235109
9.62707	-9.44551	-2.77424	1.98966	-0.101302	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.55455
9.64545	-9.59645	-2.77894	1.95188	-0.134793	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.76991
9.71236	-9.72802	-2.7928	1.96166	-0.109194	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.17215
9.73136	-9.87939	-2.79847	1.9269	-0.138973	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.638494
9.74468	-10.0266	-2.77656	1.87841	-0.197362	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.68508
9.77994	-10.1706	-2.77259	1.86141	-0.203988	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.140958
9.81765	-10.308	-2.77413	1.84638	-0.211654	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.536328
9.8284	-10.4536	-2.77678	1.81507	-0.232541	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.350631
9.87175	-10.5985	-2.7802	1.81458	-0.212753	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.848276
9.89321	-10.7518	-2.78074	1.79201	-0.223706	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.108775
9.89486	-10.9036	-2.76814	1.74495	-0.274727	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.17171
9.89979	-11.0569	-2.76717	1.7155	-0.289331	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.245582
9.91452	-11.1932	-2.76597	1.69805	-0.292755	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0628377
9.90888	-11.3381	-2.76893	1.66713	-0.308756	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.249518
9.92215	-11.4778	-2.77135	1.65323	-0.305664	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0657976
9.90738	-11.6232	-2.77453	1.61996	-0.323248	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.340925
9.82604	-11.7627	-2.74985	1.5006	-0.478728	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	16.2732
9.80169	-11.8949	-2.7453	1.46825	-0.487693	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.27675
9.77436	-12.0292	-2.7425	1.43202	-0.504452	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.21515
9.73097	-12.1662	-2.74381	1.39141	-0.51941	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.355303
9.65477	-12.2985	-2.73863	1.30249	-0.615365	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	5.08779
9.6035	-12.4214	-2.73244	1.26294	-0.624961	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.433388
9.47335	-12.5349	-2.72484	1.12659	-0.782469	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	11.5502
9.40326	-12.6446	-2.7162	1.0804	-0.790942	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.544315
9.31877	-12.7704	-2.71563	1.02208	-0.813581	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.240033
9.23583	-12.8793	-2.70314	0.973066	-0.820571	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.71586
9.05577	-12.9545	-2.71206	0.793865	-1.03324	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	20.6061
8.93538	-13.0368	-2.70988	0.725702	-1.0491	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0.850675
8.78512	-13.1121	-2.71514	0.61891	-1.12273	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	2.40437
8.66061	-13.175	-2.70159	0.550138	-1.13348	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.888779
8.51134	-13.2195	-2.71153	0.442053	-1.21332	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	2.88818
8.38104	-13.2576	-2.70407	0.371628	-1.22465	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.565019
8.20169	-13.2688	-2.72137	0.233495	-1.33489	8.22926	-13.1698	8.2	-13.15	-2.72741	0	5.86672
8.05054	-13.2765	-2.7121	0.147422	-1.34992	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.82895
7.89329	-13.2778	-2.71412	0.0562726	-1.37308	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.779409
7.74649	-13.2627	-2.7047	-0.0290522	-1.38602	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.522029
7.64256	-13.3071	-2.66945	-0.0160913	-1.25637	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	10.5196
7.50114	-13.2926	-2.67241	-0.0856629	-1.26138	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.234896
7.35471	-13.2755	-2.66755	-0.148282	-1.24649	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.841349
7.20426	-13.2474	-2.67216	-0.218454	-1.24623	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.103782
7.06406	-13.1782	-2.68942	-0.322533	-1.30649	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.03308
6.92633	-13.1361	-2.69956	-0.384785	-1.29964	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.317447
6.79235	-13.0894	-2.69419	-0.442126	-1.27994	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.429555
6.64579	-13.0332	-2.70691	-0.502916	-1.26589	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.4772
6.52004	-13.0104	-2.66328	-0.505506	-1.16277	6.40137	-13.0799	6.4	-13.05	-2.72678	0	11.0487
6.37048	-12.9639	-2.6802	-0.545502	-1.13311	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.10996
